,Accuracy
0,57.89473684210527
1,58.3732057416268
2,59.80861244019139
3,57.89473684210527
4,59.80861244019139
5,57.89473684210527
6,60.28708133971292
7,57.89473684210527
8,58.3732057416268
9,57.89473684210527
10,60.28708133971292
11,57.89473684210527
12,57.89473684210527
13,57.89473684210527
14,59.80861244019139
15,57.89473684210527
16,57.89473684210527
17,57.89473684210527
18,58.3732057416268
19,59.80861244019139
20,59.80861244019139
21,58.3732057416268
22,59.80861244019139
23,59.80861244019139
24,57.89473684210527
25,58.3732057416268
26,57.89473684210527
27,57.89473684210527
28,60.28708133971292
29,57.89473684210527
30,59.80861244019139
31,58.3732057416268
32,58.3732057416268
33,58.3732057416268
34,57.89473684210527
35,57.89473684210527
36,57.89473684210527
37,57.89473684210527
38,57.89473684210527
39,57.89473684210527
40,57.89473684210527
41,58.3732057416268
42,59.80861244019139
43,58.3732057416268
44,57.89473684210527
45,59.80861244019139
46,59.80861244019139
47,59.80861244019139
48,57.89473684210527
49,58.3732057416268
50,57.89473684210527
51,57.89473684210527
52,58.3732057416268
53,58.3732057416268
54,57.89473684210527
55,57.89473684210527
56,57.89473684210527
57,57.89473684210527
58,58.3732057416268
59,58.3732057416268
60,58.3732057416268
61,60.28708133971292
62,57.89473684210527
63,57.89473684210527
64,58.3732057416268
65,59.80861244019139
66,58.3732057416268
67,58.3732057416268
68,57.89473684210527
69,58.3732057416268
70,57.89473684210527
71,57.89473684210527
72,57.89473684210527
73,57.89473684210527
74,57.89473684210527
75,57.89473684210527
76,59.80861244019139
77,59.80861244019139
78,57.89473684210527
79,57.89473684210527
80,59.80861244019139
81,58.3732057416268
82,60.28708133971292
83,58.3732057416268
84,58.3732057416268
85,57.89473684210527
86,59.80861244019139
87,58.3732057416268
88,58.3732057416268
89,57.89473684210527
90,57.89473684210527
91,57.89473684210527
92,59.80861244019139
93,59.80861244019139
94,57.89473684210527
95,57.89473684210527
96,59.80861244019139
97,59.80861244019139
98,57.89473684210527
99,57.89473684210527
