,Accuracy
0,69.85645933014354
1,70.81339712918661
2,70.81339712918661
3,71.29186602870813
4,72.24880382775119
5,71.29186602870813
6,70.33492822966507
7,68.89952153110048
8,70.81339712918661
9,67.46411483253588
10,72.24880382775119
11,68.89952153110048
12,69.377990430622
13,71.77033492822966
14,68.42105263157895
15,72.24880382775119
16,73.68421052631578
17,67.46411483253588
18,71.29186602870813
19,71.29186602870813
20,73.68421052631578
21,70.33492822966507
22,72.72727272727273
23,70.81339712918661
24,69.85645933014354
25,73.20574162679426
26,73.68421052631578
27,69.377990430622
28,73.20574162679426
29,70.33492822966507
30,70.33492822966507
31,68.89952153110048
32,73.20574162679426
33,68.89952153110048
34,69.85645933014354
35,76.07655502392345
36,71.77033492822966
37,73.20574162679426
38,73.20574162679426
39,67.94258373205741
40,70.81339712918661
41,72.24880382775119
42,72.72727272727273
43,70.81339712918661
44,69.85645933014354
45,71.77033492822966
46,68.42105263157895
47,72.24880382775119
48,70.81339712918661
49,69.85645933014354
50,68.89952153110048
51,68.89952153110048
52,71.29186602870813
53,72.24880382775119
54,70.33492822966507
55,70.81339712918661
56,71.29186602870813
57,71.77033492822966
58,73.20574162679426
59,71.77033492822966
60,70.81339712918661
61,70.33492822966507
62,71.29186602870813
63,70.81339712918661
64,70.33492822966507
65,68.42105263157895
66,71.29186602870813
67,71.29186602870813
68,69.377990430622
69,72.24880382775119
70,72.24880382775119
71,73.20574162679426
72,70.81339712918661
73,70.81339712918661
74,70.81339712918661
75,70.33492822966507
76,71.77033492822966
77,72.24880382775119
78,73.20574162679426
79,69.85645933014354
80,71.77033492822966
81,73.20574162679426
82,71.77033492822966
83,68.42105263157895
84,68.89952153110048
85,72.72727272727273
86,72.72727272727273
87,69.85645933014354
88,70.81339712918661
89,69.85645933014354
90,72.24880382775119
91,72.24880382775119
92,70.81339712918661
93,72.72727272727273
94,69.377990430622
95,71.77033492822966
96,69.85645933014354
97,70.81339712918661
98,69.85645933014354
99,71.77033492822966
100,71.29186602870813
101,71.77033492822966
102,68.42105263157895
103,71.29186602870813
104,70.81339712918661
105,69.377990430622
106,72.24880382775119
107,70.81339712918661
108,70.81339712918661
109,70.33492822966507
110,74.16267942583733
111,69.85645933014354
112,74.64114832535886
113,73.68421052631578
114,68.42105263157895
115,70.33492822966507
116,71.29186602870813
117,72.24880382775119
118,71.77033492822966
119,73.68421052631578
120,71.77033492822966
121,72.24880382775119
122,73.20574162679426
123,73.68421052631578
124,71.29186602870813
125,74.64114832535886
126,71.29186602870813
127,72.24880382775119
128,73.20574162679426
129,72.72727272727273
130,72.24880382775119
131,71.77033492822966
132,71.77033492822966
133,68.89952153110048
134,72.24880382775119
135,69.377990430622
136,73.20574162679426
137,71.29186602870813
138,68.89952153110048
139,70.33492822966507
140,70.81339712918661
141,69.85645933014354
142,69.377990430622
143,70.81339712918661
144,69.377990430622
145,73.20574162679426
146,71.77033492822966
147,72.72727272727273
148,68.42105263157895
149,71.29186602870813
150,71.29186602870813
151,68.42105263157895
152,72.72727272727273
153,71.77033492822966
154,70.33492822966507
155,71.77033492822966
156,72.24880382775119
157,73.68421052631578
158,71.77033492822966
159,69.85645933014354
160,69.85645933014354
161,69.377990430622
162,69.377990430622
163,69.377990430622
164,69.85645933014354
165,71.29186602870813
166,70.81339712918661
167,72.72727272727273
168,70.33492822966507
169,71.77033492822966
