Nome: FRANCA
Codigo Estacao: 83630
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1003.55
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-01-01;2,6;2,7;2,8;28;22,36;19,6;81,5;64;2;
2019-01-02;2,3;3,8;15;30,1;24,36;20,3;69,5;57;3,333333;
2019-01-03;4,1;1,1;0;29,4;24,56;22;69,75;57;2,333333;
2019-01-04;2,5;0;,7;25,2;21,48;19,6;87,25;78;2,666667;
2019-01-05;,5;0;12,6;23;20,64;18,6;91,5;85;2;
2019-01-06;2,6;2,7;10,8;29,4;23,12;19,2;76;53;1,666667;
2019-01-07;3,3;6,8;0;31,4;25,54;20,5;59,75;42;3,666667;
2019-01-08;5,6;4,3;0;32;25,64;22,4;72,25;57;2;
2019-01-09;3,5;7;2,4;30,9;25;20,1;57,25;51;3;
2019-01-10;5,9;7,4;0;31;25,36;19,4;53,75;40;1,666667;
2019-01-11;5,9;1,6;0;28,3;24,34;21,2;69,25;58;3,333333;
2019-01-12;2,4;1,5;0;29;23,08;19,4;80,75;73;1,666667;
2019-01-13;2;3,7;0;30,3;24,36;19,3;78,5;69;2;
2019-01-14;2,8;3,8;12,8;32;25,14;21,1;64,25;53;2;
2019-01-15;3,7;3,4;,4;31,3;24,76;19,5;66,5;54;2,333333;
2019-01-16;4,8;0;0;30,8;25,96;20,4;64,75;52;1,333333;
2019-01-17;3,7;2,1;7,2;30,6;23,94;17,7;66,75;51;,666667;
2019-01-18;3,6;4,1;0;30,2;24,1;20,3;74,75;56;2;
2019-01-19;3,1;5,9;0;32,2;25,56;20,2;59,75;43;1,666667;
2019-01-20;5,1;1,9;2,8;31,8;24,8;19,8;70,75;54;,666667;
2019-01-21;3,2;3,8;34,4;32,2;26,12;19,8;62,5;48;1;
2019-01-22;4,2;5,4;0;32,4;27,1;22,9;67,25;62;,666667;
2019-01-23;3,1;2,9;2,9;31;25,62;21,3;71,25;61;2,333333;
2019-01-24;2,5;3,3;0;31,8;25,42;21,7;65,25;48;2;
2019-01-25;2;4,7;0;32,3;23,26;19,2;70,25;42;2;
2019-01-26;1,5;1,9;17,1;26,6;20,98;17,3;78;64;4,666667;
2019-01-27;1,4;,1;4,6;25,6;21,2;17,2;84;73;2;
2019-01-28;,8;6,8;1,6;31,4;24,7;17,9;56,5;40;2,333333;
2019-01-29;1,9;7,1;0;32,2;26,18;21,1;53,25;40;2;
2019-01-30;1,9;4,7;0;33,4;26,76;22;52,25;42;3;
2019-01-31;1,7;4,9;0;32,6;26,18;21,1;56,5;45;1,333333;
2019-02-01;5;5,5;0;33,2;27,24;22;52,25;44;2,333333;
2019-02-02;5,8;5,8;0;34,4;27,44;22;52,75;37;1,333333;
2019-02-03;5,7;2,7;0;34,2;23,92;20,4;73,25;43;2,666667;
2019-02-04;3,1;,7;5,4;27;22,14;17,7;80,5;68;1,666667;
2019-02-05;2,2;2,6;0;29,8;22,88;18,4;73,25;59;3;
2019-02-06;2,6;0;11,4;25,6;20,72;19,2;88;71;2,666667;
2019-02-07;,9;3;9,6;28,6;22,64;18;77,25;61;1,666667;
