Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-01-01;4,6;5;0;32,1;24,44;17,1;85,75;67;,666667;
2019-01-02;1,7;9;7;33,8;25,74;16,4;68,75;52;0;
2019-01-03;4,4;4,3;0;32,5;24,42;17,2;82,5;65;,666667;
2019-01-04;1,8;,6;28;28,1;22,32;16,3;88;78;1;
2019-01-05;,5;0;11;26,2;21,72;15,9;90,5;81;,333333;
2019-01-06;1,2;5,7;,5;30,6;23,94;16,4;79;62;,333333;
2019-01-07;2,9;10,6;0;34,9;26,38;15,7;63;44;,666667;
2019-01-08;7;8,9;0;35,4;27,26;16,8;62,25;45;,666667;
2019-01-09;7;10,3;0;34,9;27,56;17,8;56,5;45;,666667;
2019-01-10;7,3;10,4;0;34,8;25,84;15,9;60,25;35;,666667;
2019-01-11;7,6;7,9;0;35,5;27,72;15,6;57,25;46;,333333;
2019-01-12;5,5;6,1;0;33,2;24,56;16,7;71,75;61;0;
2019-01-13;5;10,6;0;34,5;26,1;14,1;60,75;42;,333333;
2019-01-14;5,3;9,9;0;35,2;26,92;16,6;64,75;48;,333333;
2019-01-15;5,3;7,3;12;34,7;25,56;16;71,5;48;,333333;
2019-01-16;4,9;6,2;0;36,4;27,02;17,8;67,25;58;1,333333;
2019-01-17;6,5;2,1;0;29,1;24,52;17;71,25;64;,333333;
2019-01-18;2,6;6,8;0;33,3;25,08;16,2;69;56;,666667;
2019-01-19;6,4;10,4;0;35,7;26,58;16,1;63,75;45;,666667;
2019-01-20;6,4;7,5;0;35,5;26,36;17;67,5;53;,666667;
2019-01-21;4,2;8,3;7,2;35,9;26,94;16,7;65;40;,666667;
2019-01-22;6,8;9,4;0;37,6;27,52;17,5;60,75;39;0;
2019-01-23;8,2;7,9;0;35,5;27,02;19,6;68,75;61;1,333333;
2019-01-24;6;6;0;34,7;25,38;17,3;71,5;51;,333333;
2019-01-25;5,2;7,6;0;36,3;24,26;15,7;68,75;41;,666667;
2019-01-26;5,7;3,8;2;30,2;22,52;14,5;78,25;66;,333333;
2019-01-27;3;4,8;0;30,1;23;14,4;74,5;59;1;
2019-01-28;5;10,3;0;34,8;25,66;14;63,25;51;,333333;
2019-01-29;7,7;9,9;0;36,7;27,78;16;55,75;42;0;
2019-01-30;7,8;9,4;0;37,1;27,9;16,6;55,5;41;0;
2019-01-31;6,8;10,1;0;37,3;26,52;15,4;62;47;,333333;
2019-02-01;8,2;9,7;,2;37,9;27,56;16,2;58,75;49;,333333;
2019-02-02;7;9,8;0;38,7;28,18;15,8;57,5;38;,333333;
2019-02-03;8;9,3;0;37,8;27,08;18,2;53,25;44;,666667;
2019-02-04;5,6;6,9;9,6;32,3;23,86;15,5;69,75;54;1,666667;
2019-02-05;5,4;6,8;0;31,6;23,82;12,8;63,5;54;,666667;
2019-02-06;5;1,6;0;30,1;21,4;14,2;79,75;57;1;
2019-02-07;2,9;9,4;3;31,8;22,94;13;70,25;50;1;
2019-02-08;4,1;10,8;0;34,9;25,48;13;55,75;37;1;
2019-02-09;6,2;10,5;0;35,6;26,4;15,3;60,25;43;0;
2019-02-10;7;7,8;0;35,5;26,8;17,6;66;49;,666667;
2019-02-11;6,2;9,7;0;35;26,28;17,6;64,75;45;,666667;
2019-02-12;6,6;0;0;29;23,24;17,6;83,5;66;,666667;
2019-02-13;2,3;0;,5;27,5;22,64;16,6;82,5;76;1;
2019-02-14;2;5,6;0;32,1;23,2;15;76,25;57;,666667;
2019-02-15;4,2;1,2;37;28,2;23;15,7;80;67;,666667;
2019-02-16;1;0;33,2;24,8;20,26;14;97,25;77;,666667;
2019-02-17;,8;,4;78;27,3;22;15,6;85,25;74;0;
