Nome: CATANDUVA
Codigo Estacao: 83676
Latitude: -21.12222221
Longitude: -48.94694444
Altitude: 570
Situacao: Fechada
Data Inicial: 2019-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-01-01;5;8,2;11,6;29,3;25,28;22,3;null;77;2;
2019-01-02;5,5;8,8;0;31,2;27,18;22,5;null;76;1,5;
2019-01-03;8,2;5,5;0;31,6;26,12;23,3;null;73;2,5;
2019-01-04;5,1;,3;10,2;27;23,96;21,6;null;86;1,5;
2019-01-05;4,1;0;20,2;26,4;22,88;21;null;89;1,5;
2019-01-06;null;null;2,2;null;null;null;null;95;null;
2019-01-07;null;9,1;0;32;null;null;null;84;1,5;
2019-01-08;8;8,3;0;33,4;28,2;23;null;77;1,5;
2019-01-09;7;9,6;0;33;28,6;23,1;null;71;1,5;
2019-01-10;11;11;0;33,2;28,38;23,3;null;63;2;
2019-01-11;11;4,7;0;32,1;27,04;23,7;null;55;2;
2019-01-12;9;4,8;0;33;25,02;21,5;null;70;2;
2019-01-13;null;null;null;null;null;null;null;76;null;
2019-01-14;null;6,4;0;34;null;null;null;70;2;
2019-01-15;8,6;5,5;0;33,4;27,46;22,7;null;70;2;
2019-01-16;6,9;5,5;0;35,2;28,08;24;null;66;1,5;
2019-01-17;7,5;5,3;0;33,4;26,88;23;null;69;2,5;
2019-01-18;8,5;8,2;0;33,7;25,86;22;null;70;2;
2019-01-19;5,5;10,2;14;33;26,54;21,5;null;77;2;
2019-01-20;null;null;null;null;null;null;null;73;null;
2019-01-21;null;7,4;10,1;33;null;null;null;80;1,5;
2019-01-22;8,5;8,6;0;35,7;29,74;24,6;null;65;1;
2019-01-23;8,7;9,7;0;35,4;27,5;23,5;null;57;2;
2019-01-24;8,3;6,5;4,2;33,1;26,74;23;null;77;2,5;
2019-01-25;8,5;7,6;0;33,8;25,04;21,3;null;81;2,5;
2019-01-26;6;7,1;0;29,8;23,82;19,8;null;75;2,5;
2019-01-27;null;null;4;null;null;null;null;89;null;
2019-01-28;null;9,7;0;33;null;null;null;76;1,5;
