Nome: SAO CARLOS
Codigo Estacao: 83726
Latitude: -21.98027777
Longitude: -47.88388888
Altitude: 859.77
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-01-01;4,9;4,7;0;30,7;23,36;20,2;null;58;3;
2019-01-02;2,1;7,8;32,2;30,5;25,06;20,3;null;75;1;
2019-01-03;2,8;4,3;0;30;24,58;21,6;null;74;1;
2019-01-04;2,2;,7;14,9;27,6;22,86;20,3;null;88;,5;
2019-01-05;,9;0;26,2;22,8;20,92;19,3;null;95;1;
2019-01-06;null;null;null;null;null;null;null;97;null;
2019-01-07;null;null;0;31,2;null;null;null;74;1;
2019-01-08;4,5;5,8;0;31,3;25,92;20,2;null;62;2;
2019-01-09;3,9;9,6;0;31,7;25,62;20,7;null;62;3;
2019-01-10;5,5;9,6;0;31,8;25,78;21,6;null;54;,5;
2019-01-11;1,7;8;0;31,6;25,8;21,1;null;57;,5;
2019-01-12;4,1;5,2;0;31,1;23,08;19,9;null;78;1;
2019-01-13;null;null;14,8;null;null;null;null;95;null;
2019-01-14;null;null;null;32,4;null;null;null;69;1;
2019-01-15;3,9;6,7;15,6;31,3;24,34;18,9;null;72;,5;
2019-01-16;3,4;4,8;0;32,8;24,62;20,7;null;65;1;
2019-01-17;4;4,3;2;30,4;24,22;19,4;null;75;1;
2019-01-18;3,2;7,5;0;31,2;25,94;20,7;null;65;,5;
2019-01-19;4;8,8;9;31,9;24,98;19,5;null;78;2;
2019-01-20;null;null;null;null;null;null;null;77;null;
2019-01-21;null;null;0;32;null;null;null;67;,5;
2019-01-22;3,5;9,4;1,7;34,8;27,58;21;null;62;2;
2019-01-23;4,7;8;0;31,5;25,84;21,2;null;68;3,5;
2019-01-24;4,5;4,3;0;30,5;24,28;20,2;null;66;2;
2019-01-25;3,1;4,2;0;31,1;22,68;18,4;null;64;2;
2019-01-26;3,6;6,1;9,2;29,3;21,92;17,5;null;74;1;
2019-01-27;null;null;null;null;null;null;null;76;null;
2019-01-28;null;null;0;32,4;null;null;null;60;2;
2019-01-29;6;9,9;0;33,6;26,62;20,4;null;58;1;
2019-01-30;5,8;10,5;0;34,2;26,8;20,7;null;54;,5;
2019-01-31;null;8,3;0;33,5;26,18;20,5;null;56;0;
2019-02-01;5,6;10,2;0;34,8;27,46;20,8;null;51;,5;
2019-02-02;6,4;10,1;0;34,8;26,56;20,9;null;55;1;
2019-02-03;null;null;null;null;null;null;null;79;null;
2019-02-04;null;null;0;26,8;22,3;20,7;null;83;4;
2019-02-05;3,1;3,7;0;27,2;21,88;16,7;null;75;4;
2019-02-06;3,2;2,6;0;27,4;20,9;18,3;null;78;2;
2019-02-07;1,9;7,4;3,1;29,3;21,78;16,4;null;92;,5;
2019-02-08;3,1;10,6;0;32;24,38;17,5;null;74;,5;
2019-02-09;5,7;9,3;0;32,8;25,54;19,8;null;66;2;
2019-02-10;null;null;null;null;null;null;null;66;null;
2019-02-11;null;null;0;32;null;null;null;81;1,5;
2019-02-12;3,9;1,3;5,1;27,9;23;20;null;85;,5;
2019-02-13;1,3;0;38,5;23,9;21,24;19,9;null;88;2,5;
2019-02-14;1,9;5,7;0;27,5;22,52;17,2;null;74;2;
2019-02-15;3,1;,2;0;25,3;21,98;20,2;null;75;3;
2019-02-16;1,4;0;21,3;22,2;20,36;19,5;null;94;1;
2019-02-17;null;null;null;null;null;null;null;97;null;
2019-02-18;null;null;0;28,1;23,5;21,8;null;90;,5;
2019-02-19;1,9;5,6;0;29,2;22,24;19,8;null;87;1,5;
2019-02-20;2,6;3,3;1,6;27,3;21,86;18,9;null;78;1;
2019-02-21;2;3,1;1,2;27,6;23,14;19,5;null;86;2;
2019-02-22;2;1,5;4,6;29,3;22,76;18,9;null;83;2;
2019-02-23;1,8;7,2;2,4;31,7;25,06;19,2;null;70;1;
2019-02-24;null;null;null;null;null;null;null;76;null;
2019-02-25;null;null;0;31,4;24,56;22,1;null;74;1;
2019-02-26;2,7;,9;3,7;27,5;22,78;19,8;null;86;1;
2019-02-27;1,3;1,6;16,3;26,3;21,62;18,4;null;87;,5;
2019-02-28;,3;0;44;23,6;20,68;19,6;null;94;1,5;
2019-03-01;,6;,1;56;24,9;21,14;19,6;null;95;1;
2019-03-02;,7;1,3;18,3;25,2;21,24;19,6;null;97;1;
2019-03-03;null;null;null;null;null;null;null;98;null;
2019-03-04;null;null;0;26,4;23,06;21,9;null;75;2;
2019-03-05;2,8;3,4;0;28,7;22,4;19,7;null;80;1;
2019-03-06;2,1;7,6;5,6;31,3;23,94;19,4;null;73;,5;
2019-03-07;3,3;5,4;0;28,9;23,22;20,4;null;77;1;
2019-03-08;1,8;7,5;1,3;31,9;24,64;19,8;null;76;,5;
2019-03-09;3,2;2,5;0;31;25,62;20,6;null;71;1;
2019-03-10;null;null;null;null;null;null;null;77;null;
2019-03-11;null;null;0;27,4;22,92;21,2;null;87;3;
2019-03-12;2,3;7,4;0;30,4;23,86;18,4;null;66;2;
2019-03-13;3;6,5;5,7;29,3;23,48;19,7;null;84;2;
2019-03-14;2,1;2,9;16,6;29;22,64;19,4;null;88;,5;
2019-03-15;1,3;4,6;2,7;29,6;23,42;19,5;null;89;1;
2019-03-16;null;null;null;null;null;null;null;86;null;
2019-03-17;null;null;null;null;null;null;null;null;null;
2019-03-18;null;null;null;null;null;null;null;null;null;
2019-03-19;null;null;null;null;null;null;null;null;null;
2019-03-20;null;null;null;null;null;null;null;null;null;
2019-03-21;null;null;null;null;null;null;null;null;null;
2019-03-22;null;null;null;null;null;null;null;null;null;
2019-03-23;null;null;null;null;null;null;null;null;null;
2019-03-24;null;null;null;null;null;null;null;null;null;
2019-03-25;null;null;null;null;null;null;null;null;null;
2019-03-26;null;null;null;null;null;null;null;null;null;
2019-03-27;null;null;null;null;null;null;null;null;null;
2019-03-28;null;null;null;null;null;null;null;null;null;
2019-03-29;null;null;null;null;null;null;null;null;null;
2019-03-30;null;null;null;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;null;null;null;
2019-04-01;null;null;0;29,4;null;null;null;69;1;
2019-04-02;4,1;9,2;0;31,2;23,9;17,2;null;62;1;
2019-04-03;4,5;6,5;0;31,1;24,24;19,2;null;51;,5;
2019-04-04;4,6;6,8;0;31,9;24,72;17,9;null;53;,5;
2019-04-05;4,3;2,6;0;28,4;24,24;21,9;null;74;1,5;
2019-04-06;1,8;7,3;13,8;30,5;23,98;20,7;null;78;1;
2019-04-07;null;null;null;null;null;null;null;97;null;
2019-04-08;null;null;0;21,2;19,84;19,2;null;98;3;
2019-04-09;,5;3;9,2;24,3;20,04;17,7;null;89;3;
2019-04-10;2,1;7,8;0;26,5;20,72;17,7;null;85;3;
2019-04-11;1,5;8;0;29,4;22,78;16;null;76;3;
2019-04-12;3,3;7,1;0;30,3;22,46;18,3;null;72;1;
2019-04-13;3,4;1,6;0;29,9;22,48;19;null;73;1;
2019-04-14;null;null;0;null;null;null;null;98;null;
2019-04-15;null;null;0;29,6;null;null;null;88;1;
2019-04-16;2,1;8;0;28,2;23,04;19,9;null;80;2;
2019-04-17;1,8;8;0;28,8;21,86;18,6;null;91;1;
2019-04-18;2,2;8,7;0;27,9;19,42;14,8;null;63;1;
2019-04-19;3,6;9,1;0;28,9;20,72;14,1;null;64;0;
2019-04-20;3,6;9,4;0;29,7;21,46;14,9;null;59;,5;
2019-04-21;null;null;0;null;null;null;null;81;null;
2019-04-22;null;null;0;30,2;null;null;null;64;1;
2019-04-23;4;2,7;0;29,4;22,78;19,2;null;77;1;
2019-04-24;2,5;6,5;0;29,7;23,62;18,9;null;76;2;
2019-04-25;3,5;8,6;0;30,6;23,6;19,2;null;76;2;
2019-04-26;4,8;8,7;0;30,5;24,12;19,4;null;72;3;
2019-04-27;3,5;9,2;0;30,1;23,86;19,9;null;70;2;
2019-04-28;null;null;0;null;null;null;null;83;null;
2019-04-29;null;null;0;26,9;21,06;19,4;null;93;,5;
2019-04-30;2,1;8;0;28,5;21,3;15,4;null;73;1,5;
2019-05-01;1,8;3;0;28;22,04;17,3;null;74;,5;
2019-05-02;3,3;2,7;0;27,4;21,82;19,5;null;78;,5;
2019-05-03;3;6,8;0;29,7;23,8;19,3;null;76;,5;
2019-05-04;2,8;5,5;0;29,2;23,4;19,9;null;83;,5;
2019-05-05;null;null;null;null;null;null;null;87;null;
2019-05-06;null;null;0;29,7;null;null;null;71;,5;
2019-05-07;2,8;6;0;29,2;22,62;18,5;null;79;2;
2019-05-08;2,2;7,3;1;26,5;20,82;17;null;81;2;
2019-05-09;2,5;8;0;27,9;20,9;15,8;null;81;3;
2019-05-10;2,3;6,4;18,1;27,6;21,84;18;null;85;1,5;
2019-05-11;2;1,9;0;27,3;22,62;19,4;null;84;,5;
2019-05-12;null;null;null;null;null;null;null;91;null;
2019-05-13;null;null;0;30,2;null;null;null;87;1;
2019-05-14;3;7,4;0;26,2;21,42;17,8;null;80;0;
2019-05-15;2,3;5,3;0;23,2;18,62;15,8;null;77;3;
2019-05-16;2,7;4,7;0;23,9;18,86;15,5;null;79;4;
2019-05-17;2,3;2,1;0;22,6;17,86;15,7;null;83;2;
2019-05-18;1,4;3,9;12,5;23,6;18,44;15,9;null;91;2;
2019-05-19;null;null;null;null;null;null;null;93;null;
2019-05-20;null;null;0;25,3;18,3;15,6;null;85;,5;
2019-05-21;2,4;8;0;26,2;17,74;12,3;null;64;1;
2019-05-22;3,2;8,8;0;27,9;18,2;10,7;null;70;1;
2019-05-23;3,2;7,7;0;27,6;19,16;12,5;null;71;1;
2019-05-24;3,6;,2;0;21,7;16,84;14,7;null;80;2;
2019-05-25;1,5;7,6;0;21,3;13,54;7,9;null;69;1;
2019-05-26;null;null;null;null;null;null;null;84;null;
2019-05-27;null;null;0;26,9;17,8;14,4;null;57;2;
2019-05-28;4,6;8;0;27,7;20,7;12,6;null;69;1;
2019-05-29;3,3;8,3;,6;28,4;21,16;16,2;null;74;,5;
2019-05-30;2,7;8,7;0;28,9;22,4;17,3;null;72;,5;
2019-05-31;3,7;8,3;0;28;21,58;17,8;null;71;1;
2019-06-01;4,6;8,9;0;28,2;20,94;15,5;null;70;,5;
2019-06-02;null;null;null;null;null;null;null;87;null;
2019-06-03;null;null;0;20,4;17,42;16,3;null;94;,5;
2019-06-04;,7;5,5;2,8;18,7;14,6;13,2;null;87;4;
2019-06-05;2,4;8,8;0;20,3;14,72;10,2;null;65;2;
2019-06-06;3;8,7;0;22,4;15,02;10,7;null;70;4;
2019-06-07;5;8,6;0;24,9;16,46;12,9;null;66;1,5;
2019-06-08;1,8;7,2;0;24,5;16,42;10,5;null;80;,5;
2019-06-09;null;null;null;null;null;null;null;75;null;
2019-06-10;null;null;0;23,6;17,04;14,9;null;68;2,5;
2019-06-11;4,3;8,4;0;26,1;18,02;12,9;null;61;,5;
2019-06-12;3,5;8,5;0;26,5;18,82;13,9;null;71;,5;
2019-06-13;3,5;8,3;0;27,7;21,24;15,5;null;72;2;
2019-06-14;3,9;8,3;0;27,9;20,64;17,9;null;68;2;
2019-06-15;4,1;8,8;0;27,1;19,56;16,7;null;60;2;
2019-06-16;null;null;null;null;null;null;null;75;null;
2019-06-17;null;null;0;24,6;17,92;15,4;null;73;1;
2019-06-18;3,6;8,3;0;26,1;18,3;13,9;null;70;1;
2019-06-19;3,2;4,7;0;26,5;17,92;12,5;null;80;,5;
2019-06-20;3,1;8,4;0;26,1;18,96;12,2;null;66;1;
2019-06-21;3,5;8,5;0;25,2;18,8;14,2;null;77;2;
2019-06-22;3,5;8;0;23,8;18,26;13,3;null;75;2;
2019-06-23;null;null;null;null;null;null;null;77;null;
2019-06-24;null;null;0;25,4;19,06;17;null;73;0;
2019-06-25;4,2;7,5;0;26,9;20,6;15;null;64;2;
2019-06-26;1,3;7,9;0;27,7;21;16,7;null;66;1;
2019-06-27;4,8;7,7;0;27,5;20,28;15,7;null;68;,5;
2019-06-28;3,5;8,4;0;28,1;21,82;16,7;null;60;2;
2019-06-29;5,5;8,2;0;27,8;19,64;16,8;null;62;2;
2019-06-30;null;null;null;null;null;null;null;77;null;
2019-07-01;null;null;0;27,3;null;null;null;63;,5;
2019-07-02;3,5;5,8;0;26,2;18,8;13;null;46;,5;
2019-07-03;4,5;6,6;0;28,2;20,44;15,2;null;62;1;
2019-07-04;4,8;4,5;0;25,1;18,8;17;null;65;2;
2019-07-05;2,5;0;29,4;18,2;14,54;12,6;null;97;1;
2019-07-06;,5;8,6;2,7;16,6;9,9;6,3;null;30;1;
2019-07-07;null;null;0;null;null;null;null;79;null;
2019-07-08;null;null;0;20,6;null;null;null;65;4;
2019-07-09;5,9;8,8;0;23,4;14,88;8,4;null;62;1;
2019-07-10;2,3;8,6;0;25,3;15,66;10,4;null;61;,5;
2019-07-11;1,1;8,7;0;25,3;15,64;8,5;null;66;0;
2019-07-12;4,2;8,7;0;26,5;16,78;10;null;53;2;
2019-07-13;4,2;8,6;0;27,7;18,22;10,8;null;61;,5;
2019-07-14;null;null;0;null;null;null;null;78;null;
2019-07-15;null;null;0;28,9;20,78;17,9;null;52;2;
2019-07-16;4,6;6,4;1,9;21,6;15,84;13,4;null;81;3;
2019-07-17;3,4;8,5;0;20;13,46;8,1;null;64;5;
2019-07-18;4,3;8,5;0;21,4;14,16;9,2;null;69;2;
2019-07-19;4,7;7,9;0;23,4;16;12,2;null;64;3;
2019-07-20;4,5;8,4;0;22,9;17;14;null;63;4;
2019-07-21;null;null;null;null;null;null;null;65;null;
2019-07-22;null;null;0;22,3;18,72;17,7;null;65;2;
2019-07-23;3,8;8,3;0;26,5;18,32;14,5;null;66;2;
2019-07-24;4;9;0;27,8;19,04;12,6;null;63;,5;
2019-07-25;4,2;7,5;0;27,5;19,78;14,6;null;61;,5;
2019-07-26;4,8;7,9;0;27,5;19,76;14,9;null;61;2,5;
2019-07-27;5,5;8,3;0;26,8;19,36;14,8;null;57;,5;
2019-07-28;null;null;0;null;null;null;null;64;null;
2019-07-29;null;null;0;25,4;null;null;null;59;2;
2019-07-30;4;7,4;0;27;19,56;13,7;null;62;2;
2019-07-31;4,9;9;0;28,1;19,22;11,9;null;61;,5;
2019-08-01;5,1;9;0;28,1;19,24;13,1;null;46;1,5;
2019-08-02;6;8,4;0;30,6;22,88;15,8;null;50;,5;
2019-08-03;5,2;0;3;22,9;14,42;12;null;58;2;
2019-08-04;null;null;null;null;null;null;null;89;null;
2019-08-05;null;null;0;16,2;13,96;12,2;null;87;2;
2019-08-06;2,2;6,2;0;23,2;17,46;12,4;null;77;2;
2019-08-07;2,8;8,8;0;26,5;19,92;15,4;null;74;3;
2019-08-08;3,9;9,1;0;28,2;19,98;14,1;null;64;2;
2019-08-09;4,1;9,2;0;29;20,68;14,7;null;56;1,5;
2019-08-10;5,1;8,6;0;30,6;21,88;17;null;54;,5;
2019-08-11;null;null;null;null;null;null;null;64;null;
2019-08-12;null;null;0;30,7;22,52;19,6;null;48;,5;
2019-08-13;5,7;8,9;0;31,2;21,58;16,4;null;50;3;
2019-08-14;5,3;7,4;0;21,6;13,9;11,5;null;78;5;
2019-08-15;3,3;9,2;0;24,5;16,74;10,3;null;63;2;
2019-08-16;4,3;9,2;0;25,7;17,66;12;null;58;1;
2019-08-17;5,6;9,2;0;27,4;19,16;15,2;null;57;,5;
2019-08-18;null;null;null;null;null;null;null;78;null;
2019-08-19;null;null;0;24,9;18,48;16,1;null;69;1;
2019-08-20;2,6;5,1;4,8;25,5;17,98;14;null;87;1;
2019-08-21;2,2;8;0;27,7;18,76;12,9;null;81;2;
2019-08-22;3,4;9,1;0;25,7;17,5;12;null;75;5;
2019-08-23;3,7;5,8;0;24,6;16,82;11,1;null;68;2;
2019-08-24;4,6;9;0;24,2;16,42;10,5;null;61;4;
2019-08-25;null;null;null;null;null;null;null;68;null;
2019-08-26;null;null;0;28,3;19,9;17,6;null;63;1,5;
2019-08-27;3,8;6;0;27,9;21,54;15,7;null;56;2;
2019-08-28;7,6;8,2;0;26,7;19,44;14,6;null;49;1;
2019-08-29;6;9,2;0;29,2;21,06;14,3;null;56;2;
2019-08-30;6,9;9,2;0;31,1;21,98;16,6;null;49;2;
2019-08-31;6,8;6,2;0;31,8;22,4;17,6;null;43;2;
2019-09-01;null;null;5,9;null;19,24;null;null;91;1,5;
2019-09-02;null;null;0;27,5;21,52;19,6;null;84;,5;
2019-09-03;2,2;,5;7,4;24;20,72;17,6;null;79;1;
2019-09-04;2;3,3;6,9;28,3;21,06;17,9;null;87;2;
2019-09-05;2,6;6,4;0;25;16,88;14;null;82;5;
2019-09-06;3,4;8,4;0;28,3;20,66;15;null;69;2;
2019-09-07;4,8;8,9;0;31,1;22,72;18,1;null;71;2,5;
2019-09-08;null;null;null;null;null;null;null;79;null;
2019-09-09;null;null;0;32;25,44;23,7;null;55;1;
2019-09-10;4,1;8,3;0;34;25,6;21,3;null;44;1;
2019-09-11;7;9,2;0;34,9;25,92;20,2;null;42;,5;
2019-09-12;7,9;8,9;0;35,6;26,54;19,5;null;36;1;
2019-09-13;8,3;8,9;0;32,8;23,58;19,6;null;55;2;
2019-09-14;6,2;7,8;0;32,8;24,6;16,4;null;68;1;
2019-09-15;null;null;null;null;null;null;null;57;null;
