Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-01-01;4,2;null;0;31,8;24,48;18,7;79,25;65;2,3;
2019-01-02;3,7;null;6,7;32;25,86;21;71,75;52;2,566667;
2019-01-03;6,3;null;0;33,3;24,86;20,6;69,75;43;3,066667;
2019-01-04;6,5;null;37,8;29,4;23,92;20,7;86,75;73;1,266667;
2019-01-05;2;null;25,6;24,7;22,4;20,3;83,75;78;1,633333;
2019-01-06;3,7;null;22,1;29,6;23,8;20,1;80;58;2;
2019-01-07;3,3;null;15;33,5;27,34;20,6;57,75;40;2,166667;
2019-01-08;6,5;null;0;33;26,16;21,8;67,25;56;2,166667;
2019-01-09;6,2;null;,8;34,5;26,58;21,6;65;29;1,6;
2019-01-10;4,5;null;0;32,5;27,22;22,5;56,25;48;2,4;
2019-01-11;8,1;null;0;32,2;25,06;20,3;71,75;62;2,733333;
2019-01-12;4,6;null;25,4;30,8;24,56;19,8;78;69;1,2;
2019-01-13;3,9;null;0;31,5;24,94;21;76;73;1,85;
2019-01-14;4,5;null;0;32,5;26;21,6;74;73;0;
2019-01-15;5,5;null;0;31,8;26,96;22,7;66;70;,8;
2019-01-16;5,5;null;8,8;31;23,66;20,2;86;64;2,9;
2019-01-17;4,7;null;3,2;33,7;24,66;19,6;86;70;1,2;
2019-01-18;4,8;null;10,2;32,8;25,42;19,5;77;73;1,85;
2019-01-19;5;null;0;33,4;26,4;22;69;67;,8;
2019-01-20;6,7;null;1;32;25,82;22,1;80;69;,8;
2019-01-21;3,8;null;,6;33,9;27,46;21,8;74;71;1,6;
2019-01-22;7,5;null;0;31,5;25,96;21,4;80;73;2,8;
2019-01-23;3;null;22;32,2;25,34;21,3;82;80;2,5;
2019-01-24;3,4;null;6;30,5;23,9;18,6;79;69;2,05;
2019-01-25;2;null;44;27,4;21,28;18;86;79;2,8;
2019-01-26;2,5;null;23,5;28,7;20,94;16,5;92;89;2,25;
2019-01-27;3,2;null;0;31;25,24;19;66;68;,8;
2019-01-28;5,3;null;0;34;27,24;21,3;72;64;1,6;
2019-01-29;7,4;null;0;32,7;26,7;22,7;67;60;,8;
2019-01-30;4,6;null;1,2;35,1;24,82;18;68;67;1,5;
2019-01-31;5,5;null;52;34,4;26,8;17,8;48,25;31;1,533333;
2019-02-01;10,2;null;0;35,5;27,66;21,7;54,75;24;1,866667;
2019-02-02;8,8;null;0;35,9;28,04;22,5;60,75;35;1,833333;
2019-02-03;8,2;null;0;31,4;25,6;22,8;73;61;2,633333;
2019-02-04;4,6;null;57;24;19,72;17,6;83;79;3,266667;
2019-02-05;1,9;null;3,8;25,3;20,28;17,1;80;76;3,166667;
2019-02-06;3,5;null;9;19,5;18,54;17;87,75;82;2;
2019-02-07;2,5;null;41,2;27,7;21,3;17,1;74,25;54;2,3;
2019-02-08;1,5;null;0;30,4;22,48;17,8;71,75;37;1,366667;
2019-02-09;4,5;0;0;32,3;24,54;18,3;54,5;32;2,8;
2019-02-10;5;null;0;32,5;25,92;18,8;62,25;42;2,4;
2019-02-11;6,5;null;0;32,8;27,92;21,8;57;48;1,9;
2019-02-12;7,1;null;0;29,5;23,9;21,7;81;57;3,1;
2019-02-13;4,3;null;6,8;22,2;19,8;18,8;84,5;87;2,533333;
2019-02-14;1,5;null;,4;24,2;20,84;18,1;76,25;72;2,766667;
2019-02-15;3,1;null;0;23,4;20,26;17,9;92,75;80;2,9;
2019-02-16;,5;null;39,2;24,8;20,82;18,9;92,75;82;2,2;
2019-02-17;,7;null;44,2;25,4;21,72;19,4;87,5;78;1,666667;
2019-02-18;2,3;null;2;30,2;24,36;19,7;82;78;2,05;
2019-02-19;4,3;null;0;31,2;25,82;20,9;66;75;2,05;
2019-02-20;7,1;null;0;29,4;24,18;21,5;29;62;2,9;
2019-02-21;1,1;null;10,6;28,6;22,72;20,2;87;81;0;
2019-02-22;3,5;null;13,2;29,6;23,48;20,3;82;85;1,25;
2019-02-23;1,5;null;9,8;31,6;25,16;19,6;72;75;0;
2019-02-24;7,5;null;0;32,5;26,32;22,1;70;69;,8;
2019-02-25;7,8;null;3,6;31,6;23,58;19,3;80;65;3,15;
2019-02-26;4,9;null;47,8;27,6;21,4;18,3;91;88;2,3;
2019-02-27;1,8;null;17;27,8;22,56;18,2;84;75;2,3;
2019-02-28;2,9;null;17,6;22,7;21,02;20,2;93,75;88;2,633333;
2019-03-01;,8;null;27,1;23,4;21,46;19,3;88,25;87;1,6;
2019-03-02;4,2;null;2,4;28;21,74;19,6;85,25;68;1,366667;
2019-03-03;,6;null;31;29,5;23,02;19,1;81,75;66;1,333333;
2019-03-04;1;null;5;28,8;23,06;19,6;72,5;54;1,933333;
2019-03-05;4,9;null;0;31,2;23,7;20,1;76,25;50;1,4;
2019-03-06;2,4;null;4;31,4;24,6;19,8;68,5;45;1,933333;
2019-03-07;4;null;,1;29,2;23,58;20,3;85,25;72;3,3;
2019-03-08;2,6;null;19,4;30;25,72;20;63,25;53;2,366667;
2019-03-09;5,6;null;0;33,5;24,96;18,5;71,25;39;1,066667;
