Nome: SOROCABA
Codigo Estacao: 83851
Latitude: -23.47999999
Longitude: -47.42666666
Altitude: 597.58
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-01-01;null;null;null;null;null;null;null;null;null;
2019-01-02;null;null;null;null;null;null;null;null;null;
2019-01-03;null;null;null;null;null;null;null;null;null;
2019-01-04;null;null;null;null;null;null;null;null;null;
2019-01-05;null;null;null;null;null;null;null;null;null;
2019-01-06;null;null;null;null;null;null;null;null;null;
2019-01-07;null;null;null;null;null;null;null;null;null;
2019-01-08;null;null;null;null;null;null;null;null;null;
2019-01-09;null;null;null;null;null;null;null;null;null;
2019-01-10;null;null;null;null;null;null;null;null;null;
2019-01-11;null;null;null;null;null;null;null;null;null;
2019-01-12;null;null;null;null;null;null;null;null;null;
2019-01-13;null;null;null;null;null;null;null;null;null;
2019-01-14;null;null;null;null;null;null;null;null;null;
2019-01-15;null;null;null;null;null;null;null;null;null;
2019-01-16;null;null;null;null;null;null;null;null;null;
2019-01-17;null;null;null;null;null;null;null;null;null;
2019-01-18;null;null;null;null;null;null;null;null;null;
2019-01-19;null;null;null;null;null;null;null;null;null;
2019-01-20;null;null;null;null;null;null;null;null;null;
2019-01-21;null;null;null;null;null;null;null;null;null;
2019-01-22;null;null;null;null;null;null;null;null;null;
2019-01-23;null;null;null;null;null;null;null;null;null;
2019-01-24;null;null;null;null;null;null;null;null;null;
2019-01-25;null;null;null;null;null;null;null;null;null;
2019-01-26;null;null;null;null;null;null;null;null;null;
2019-01-27;null;null;null;null;null;null;null;null;null;
2019-01-28;null;9,2;null;35,2;27,72;20,6;66;58;1;
2019-01-29;7,2;9,8;0;36,2;26,98;20,3;69;57;0;
2019-01-30;6;9,3;0;37;28,72;21,8;62;62;,5;
2019-01-31;6,3;8,9;0;37;28,66;20,7;53;58;1;
2019-02-01;7,2;11;0;37,4;29,36;20,8;52;45;0;
2019-02-02;9,3;10,3;0;37,8;29,48;21;59;56;,5;
2019-02-03;8,1;8,7;0;34,4;26,92;23;71;60;1;
2019-02-04;6,1;,7;0;25,6;22,38;20,7;71;72;1;
2019-02-05;4,1;2;0;26,2;22,08;17,6;74;66;1,5;
2019-02-06;3,8;0;0;22;19,96;17,4;87;76;,5;
2019-02-07;,9;10,4;28,8;29,8;23,08;16,6;78;72;,5;
2019-02-08;3,7;10,2;0;33;25,5;17,5;69;68;1;
2019-02-09;5,7;10,7;0;34,4;25,58;18,3;60;68;0;
2019-02-10;7,6;8,3;0;33,8;26,84;18,2;68;56;,5;
2019-02-11;5,6;5,3;0;32,8;26,8;17;71;70;,5;
2019-02-12;4,1;2,3;34,8;30;23,7;21,5;97;72;,5;
2019-02-13;2,4;0;36,6;25,4;22,06;20,7;77;75;1;
2019-02-14;3,3;1,6;0;26,6;22,44;19;70;67;1;
2019-02-15;3,8;0;0;26,2;21,6;19,2;92;70;0;
2019-02-16;,9;2,6;22,8;26,8;22,82;20,1;87;95;0;
2019-02-17;1,8;,3;0;27;23,52;21,2;86;83;,5;
2019-02-18;2,1;4;0;29,6;23,86;19,7;91;82;,5;
2019-02-19;2,1;8,9;7,4;31,4;24,46;20,7;82;79;,5;
2019-02-20;4,2;4,1;0;30,2;25,22;20,3;78;73;1;
2019-02-21;3,1;5,6;15,2;28,8;23,98;20,3;85;72;,5;
2019-02-22;2,4;5;,4;31,2;24,5;21,3;84;77;0;
2019-02-23;3,1;8,5;0;33,8;25,06;19,3;89;77;,5;
2019-02-24;4,1;9,6;1;33,8;25,76;20,6;79;80;,5;
2019-02-25;5,3;4,7;0;31,8;25,84;21,2;70;73;1,5;
2019-02-26;3,1;1,5;30,8;25,2;22,14;19,5;89;68;0;
2019-02-27;1,6;,3;26,8;27,2;22,98;19,5;86;85;0;
2019-02-28;1,6;0;1,6;23,2;22,08;21;91;87;0;
2019-03-01;,6;,6;3,8;25,2;22,84;21;88;87;0;
2019-03-02;1,1;3,7;2;28,4;22,5;20,1;88;87;1;
2019-03-03;1,4;5,2;27,8;30;23,24;19;92;88;0;
2019-03-04;1,6;7,5;9,4;29,6;23,38;19,5;89;86;0;
2019-03-05;3,3;9,9;0;31,6;25,5;20,1;72;75;1;
2019-03-06;3,8;5,4;0;33;25,26;20,9;85;70;0;
2019-03-07;4,2;3,7;3,7;29,6;24,14;20,9;88;77;,5;
2019-03-08;null;null;null;null;null;null;null;94;null;
2019-03-09;null;null;null;null;null;null;null;null;null;
2019-03-10;null;null;null;null;null;null;null;null;null;
2019-03-11;null;null;null;null;null;null;null;null;null;
2019-03-12;null;null;null;null;null;null;null;null;null;
2019-03-13;null;null;null;null;null;null;null;null;null;
2019-03-14;null;null;null;null;null;null;null;null;null;
2019-03-15;null;null;null;null;null;null;null;null;null;
2019-03-16;null;null;null;null;null;null;null;null;null;
2019-03-17;null;7,3;0;31,8;25,72;22,2;82;71;,5;
2019-03-18;3,1;5,6;0;31;25,48;21,6;85;77;,5;
2019-03-19;2,1;7,4;,4;32,4;24,96;21,8;93;84;,5;
2019-03-20;2,9;4,9;9;29;24,02;20,1;76;71;1;
2019-03-21;3,5;3,5;4;23;20,5;19,1;81;78;1;
2019-03-22;2,4;3,9;0;26,6;21,28;16,4;77;74;,5;
2019-03-23;3,5;8,7;0;30,4;22,52;17,2;79;70;,5;
2019-03-24;3,5;9,4;0;32;23,82;17,9;82;75;0;
2019-03-25;4,1;9,8;0;32;25,06;17,7;69;68;0;
2019-03-26;5,7;7,2;0;32,4;24,74;19,7;73;63;,5;
