 População Residente - Brasil
População residente por Município e Faixa Etária
Período:2012
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";371;1511;2079;2369;2554;4235;3613;3238;2039;1211;680;169;24069
"110002 ARIQUEMES";1447;6015;8504;9502;9281;17901;14999;11762;7080;3772;1842;642;92747
"110003 CABIXI";109;382;493;588;577;942;893;856;664;365;208;55;6132
"110004 CACOAL";1222;4642;6336;7545;7935;14918;12806;10580;6808;3665;2055;818;79330
"110005 CEREJEIRAS";254;968;1342;1619;1701;2939;2543;2372;1450;976;514;174;16852
"110006 COLORADO DO OESTE";277;1043;1383;1623;1738;3180;2772;2362;1729;1119;634;233;18093
"110007 CORUMBIARA";117;487;729;882;921;1430;1364;1136;756;415;220;73;8530
"110008 COSTA MARQUES";302;1173;1601;1757;1473;2530;2148;1485;1001;555;244;86;14355
"110009 ESPIGAO D'OESTE";512;1899;2517;2894;2796;5380;4753;3642;2464;1400;689;243;29189
"110010 GUAJARA-MIRIM";806;3370;4521;4664;4336;7438;6329;4765;2851;1754;918;450;42202
"110011 JARU";773;3267;4613;5105;5085;10055;8342;6224;4069;2351;1370;511;51765
"110012 JI-PARANA";1858;7476;9910;10863;11607;22935;19020;15445;9999;5179;2725;1075;118092
"110013 MACHADINHO D'OESTE";595;2402;3264;3527;3274;5682;4953;3809;2709;1407;621;160;32403
"110014 NOVA BRASILANDIA D'OESTE";283;1166;1723;2073;2176;3428;3222;2414;1699;1046;512;149;19891
"110015 OURO PRETO DO OESTE";565;2259;3137;3602;3683;7098;5740;4972;3099;1889;1044;394;37482
"110018 PIMENTA BUENO";530;2129;2923;3302;3405;6605;5320;4467;2852;1563;735;304;34135
"110020 PORTO VELHO";7617;28913;38008;42912;43378;93851;73439;55578;34053;15387;6779;2786;442701
"110025 PRESIDENTE MEDICI";281;1247;1809;2032;2187;3649;3157;2900;2166;1263;718;300;21709
"110026 RIO CRESPO";53;226;323;351;293;562;502;463;284;179;107;31;3374
"110028 ROLIM DE MOURA";732;3108;4309;4755;5116;9901;8308;6548;4167;2398;1312;488;51142
"110029 SANTA LUZIA D'OESTE";135;483;650;808;862;1425;1305;1210;778;456;260;104;8476
"110030 VILHENA";1349;5262;6891;7536;7599;15732;13096;10405;6272;3346;1642;486;79616
"110032 SAO MIGUEL DO GUAPORE";361;1478;2098;2386;2339;3936;3432;2633;1702;981;477;104;21927
"110033 NOVA MAMORE";427;1881;2649;2709;2305;4158;3727;2710;1714;883;405;151;23719
"110034 ALVORADA D'OESTE";249;1022;1444;1663;1730;2734;2442;2116;1533;841;468;162;16404
"110037 ALTO ALEGRE DOS PARECIS";199;906;1292;1369;1403;2122;2021;1557;1000;622;266;76;12833
"110040 ALTO PARAISO";286;1200;1781;2019;1744;2887;2824;2198;1447;859;390;107;17742
"110045 BURITIS";571;2478;3439;3595;3394;6224;5395;3787;2485;1333;542;154;33397
"110050 NOVO HORIZONTE DO OESTE";154;586;819;999;1056;1539;1567;1324;919;579;303;88;9933
"110060 CACAULANDIA";93;397;571;619;552;955;897;696;507;303;163;38;5791
"110070 CAMPO NOVO DE RONDONIA";215;976;1386;1421;1287;2198;1955;1559;1082;500;212;56;12847
"110080 CANDEIAS DO JAMARI";406;1625;2179;2307;2058;3753;3082;2338;1649;894;350;146;20787
"110090 CASTANHEIRAS";46;187;293;365;348;530;536;463;313;253;111;34;3479
